what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554131936639
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554131938681
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554131938747
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554131940418
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554131949144
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554131980094
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554131985470
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1554131988719
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1554131992278
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1554131999937
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1554132001500
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554132003519
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554132006851
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554132007721
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554132009739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554132040771
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554132879306
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554132881363
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1554132885896
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554132918045
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554132920069
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554132922157
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554132923297
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554132941598
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554132955363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554133105144
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554133106744
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1554133106764
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554133143262
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554133252331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554133253311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554133611035
